token,attention,sentence,label
Among,5.262892246246338,0,O
those,4.149528980255127,0,O
freed,4.990806579589844,0,O
earlier,4.177487850189209,0,O
this,4.425878047943115,0,O
week,5.867194652557373,0,O
were,5.5076117515563965,0,O
well-known,5.57207727432251,0,O
dissident,5.549206256866455,0,O
writer,5.459778308868408,0,O
and,5.215709686279297,0,O
poet,5.545154094696045,0,O
Raul,5.204397678375244,0,per
Rivero,6.267500877380371,0,per
",",4.916092872619629,0,O
opposition,5.340950012207031,0,O
politician,5.747309684753418,0,O
Osvaldo,5.003785610198975,0,per
Alfonso,5.350435256958008,0,per
Valdes,5.607067108154297,0,per
and,4.900951862335205,0,O
economist,5.820857048034668,0,O
and,5.769966125488281,0,O
journalist,5.028259754180908,0,O
Oscar,5.8413496017456055,0,per
Espinoso,5.8255486488342285,0,per
Chepe,6.23760986328125,0,per
.,5.192140102386475,0,O
Venezuela,5.309197425842285,1,geo
's,4.177265167236328,1,O
state-owned,5.023836135864258,1,O
oil,4.196471691131592,1,O
company,4.458955764770508,1,O
says,5.890824317932129,1,O
it,5.545466899871826,1,O
is,5.619255065917969,1,O
beginning,5.593133449554443,1,O
to,5.499358654022217,1,O
explore,5.255372524261475,1,O
for,5.58668327331543,1,O
oil,5.229794502258301,1,O
in,6.3087663650512695,1,O
Cuban,4.959259986877441,1,gpe
waters,5.378354549407959,1,O
as,5.790224075317383,1,O
part,5.028099536895752,1,O
of,5.394284248352051,1,O
a,5.649660110473633,1,O
joint,4.929426193237305,1,O
venture,5.8703203201293945,1,O
with,5.816865921020508,1,O
the,5.063416481018066,1,O
island,5.873295783996582,1,O
's,5.871129512786865,1,O
state-owned,6.280644416809082,1,O
Cubapetroleo,5.236573696136475,1,O
.,5.7639899253845215,1,O
